iter	Passed	Remaining
0	6	117
1	11	105
2	17	97
3	23	94
4	28	85
5	33	77
6	38	70
7	42	64
8	47	57
9	52	52
10	57	46
11	61	41
12	66	35
13	71	30
14	76	25
15	80	20
16	85	15
17	90	10
18	95	5
19	100	0
